instance,processing_time,analysed_commits,git_log_command_calls,step2,step3,step4,step5,tp_introduced,fp_introduced,fn_introduced,tp_container_change,fp_container_change,fn_container_change,tp_body_change,fp_body_change,fn_body_change,tp_catch_block_change,fp_catch_block_change,fn_catch_block_change,tp_catch_block_added,fp_catch_block_added,fn_catch_block_added,tp_catch_block_removed,fp_catch_block_removed,fn_catch_block_removed,tp_finally_block_change,fp_finally_block_change,fn_finally_block_change,tp_finally_block_added,fp_finally_block_added,fn_finally_block_added,tp_finally_block_removed,fp_finally_block_removed,fn_finally_block_removed,tp_block_split,fp_block_split,fn_block_split,tp_block_merge,fp_block_merge,fn_block_merge,tp_method_split,fp_method_split,fn_method_split,tp_method_merge,fp_method_merge,fn_method_merge,tp_pipeline_replaced_with_loop,fp_pipeline_replaced_with_loop,fn_pipeline_replaced_with_loop,tp_loop_replaced_with_pipeline,fp_loop_replaced_with_pipeline,fn_loop_replaced_with_pipeline,tp_documentation_change,fp_documentation_change,fn_documentation_change,tp_rename,fp_rename,fn_rename,tp_modifier_change,fp_modifier_change,fn_modifier_change,tp_access_modifier_change,fp_access_modifier_change,fn_access_modifier_change,tp_return_type_change,fp_return_type_change,fn_return_type_change,tp_type_change,fp_type_change,fn_type_change,tp_exception_change,fp_exception_change,fn_exception_change,tp_parameter_change,fp_parameter_change,fn_parameter_change,tp_annotation_change,fp_annotation_change,fn_annotation_change,tp_moved,fp_moved,fn_moved,tp_expression_change,fp_expression_change,fn_expression_change,tp_initializer_change,fp_initializer_change,fn_initializer_change,tp_initializer_added,fp_initializer_added,fn_initializer_added,tp_initializer_removed,fp_initializer_removed,fn_initializer_removed,tp_all,fp_all,fn_all
"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$for(387-395)",4518,232,2,208,14,8,2,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$for(391-393)",2715,229,2,206,14,8,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$if(396-398)",338,17,1,15,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)$if(389-394)",1614,137,2,120,12,4,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)$for(213-215)",1365,99,2,73,20,5,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)$if(207-209)",404,25,1,21,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.utils.CommonUtils#createPattern(String, int)$catch(108-111)",5643,254,7,234,8,5,7,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.utils.CommonUtils#createPattern(String, int)$try(105-111)",5078,254,7,234,8,5,7,1,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck#visitToken(DetailAST)$if(205-212)",1675,94,2,61,26,6,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"src/main/java/com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck#visitToken(DetailAST)$if(215-221)",2466,97,2,63,26,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0
